Day #,New Cases,Population %,Population,Dutchess
1,1,3.39884E-06,"294,218",
2,2,6.79768E-06,"294,218",
3,1,3.39884E-06,"294,218",
4,0,0,"294,218",
5,6,2.0393E-05,"294,218",
6,6,2.0393E-05,"294,218",
7,4,1.35954E-05,"294,218",
8,11,3.73872E-05,"294,218",
9,5,1.69942E-05,"294,218",
10,13,4.41849E-05,"294,218",
11,33,0.000112162,"294,218",
12,18,6.11791E-05,"294,218",
13,24,8.15722E-05,"294,218",
14,29,9.85664E-05,"294,218",
15,37,0.000125757,"294,218",
16,35,0.000118959,"294,218",
17,37,0.000125757,"294,218",
18,58,0.000197133,"294,218",
19,72,0.000244717,"294,218",
20,92,0.000312693,"294,218",
21,63,0.000214127,"294,218",
22,120,0.000407861,"294,218",
23,142,0.000482635,"294,218",
24,129,0.00043845,"294,218",
25,139,0.000472439,"294,218",
26,112,0.00038067,"294,218",
27,60,0.00020393,"294,218",
28,146,0.000496231,"294,218",
29,98,0.000333086,"294,218",
30,105,0.000356878,"294,218",
31,146,0.000496231,"294,218",
32,98,0.000333086,"294,218",
33,105,0.000356878,"294,218",
34,146,0.000496231,"294,218",
35,94,0.000319491,"294,218",