Day #,New Cases,Population %,Population,Westchester
1,1,1.03359E-06,"967,506",
2,9,9.30227E-06,"967,506",
3,8,8.26868E-06,"967,506",
4,1,1.03359E-06,"967,506",
5,38,3.92762E-05,"967,506",
6,26,2.68732E-05,"967,506",
7,15,1.55038E-05,"967,506",
8,0,0,"967,506",
9,23,2.37725E-05,"967,506",
10,27,2.79068E-05,"967,506",
11,10,1.03359E-05,"967,506",
12,14,1.44702E-05,"967,506",
13,6,6.20151E-06,"967,506",
14,42,4.34106E-05,"967,506",
15,160,0.000165374,"967,506",
16,158,0.000163306,"967,506",
17,260,0.000268732,"967,506",
18,293,0.00030284,"967,506",
19,296,0.000305941,"967,506",
20,486,0.000502322,"967,506",
21,1021,0.001055291,"967,506",
22,997,0.001030485,"967,506",
23,800,0.000826868,"967,506",
24,1253,0.001295082,"967,506",
25,1243,0.001284747,"967,506",
26,688,0.000711107,"967,506",
27,644,0.000665629,"967,506",
28,807,0.000834103,"967,506",
29,641,0.000662528,"967,506",
30,716,0.000740047,"967,506",
31,884,0.000913689,"967,506",
32,784,0.000810331,"967,506",
33,730,0.000754517,"967,506",
34,642,0.000663562,"967,506",
35,571,0.000590177,"967,506",
36,0,0,"967,506",
37,1593,0.001646501,"967,506",
38,1117,0.001154515,"967,506",
39,1073,0.001109037,"967,506",
40,652,0.000673898,"967,506",
41,584,0.000603614,"967,506",